model,time_to_train,time_to_test,recall,roc_auc,precision,accuracy,balanced_accuracy
lr_control_full,19.497248889998446,0.005409454999607988,0.5991629104958146,0.7960766492827275,0.890613249470158,0.95874,0.7960766492827276
lr_smoted_full,120.20286602799752,0.015749461002997123,0.9806365559746113,0.9430691125692261,0.49709729313842066,0.912036,0.9430691125692261
lr_weight_full,55.49803469800099,0.01849994299846003,0.9729095759359765,0.9442897817031476,0.5235631899410921,0.920648,0.9442897817031476
dt_control_full,12.073778967998805,0.008223387998441467,0.9999080121423972,0.9999518155674704,0.9999540039556598,0.999988,0.9999518155674704
dt_smoted_full,26.15653033900162,0.016173812000488397,0.9998620182135958,0.9999222470918849,0.9998160327461711,0.999972,0.9999222470918849
dt_weight_full,6.897408314998756,0.015349151002737926,0.9999080121423972,0.9999518155674704,0.9999540039556598,0.999988,0.9999518155674704
rf_control_full,361.5490954429988,1.325936430002912,0.9999080121423972,0.9999540060711987,1.0,0.999992,0.9999540060711987
rf_smoted_full,132.806743612,0.11737315199934528,0.9999080121423972,0.9999496250637422,0.9999080121423972,0.999984,0.9999496250637421
rf_weight_full,303.098517628001,0.7717225540000072,0.9999080121423972,0.9999518155674704,0.9999540039556598,0.999988,0.9999518155674704
knn_control_10p,19.848561376998987,47.90698528699795,0.8283536507774921,0.9040248192140279,0.7960501375726078,0.9664811111111111,0.9040248192140279
knn_smoted_10p,233.76010718599719,181.56467663900185,0.989552846563001,0.993826232512899,0.980321710410206,0.9973533333333333,0.993826232512899
knn_none_10p,119.01385914099956,121.48790068299786,0.9838266357875448,0.991483571140004,0.9909511541764396,0.9978033333333334,0.9914835711400038
mlp_normal_full,960.8457849719998,0.20894707100160304,0.8920522491031184,0.945036016866396,0.9772257771955459,0.988804,0.9450360168663959
